id,name,device_type,location,status,created_at
1,GPU服务器-01,GPU服务器,A栋101,maintenance,2026-01-01 09:00:00
2,高性能工作站-02,高性能工作站,A栋203,available,2026-01-01 09:00:00
3,边缘计算盒-03,传感器,B栋305,available,2026-01-01 09:00:00
4,传感器-04,实验设备,实验室一,available,2026-01-01 09:00:00
5,GPU服务器-05,存储节点,实验室二,available,2026-01-01 09:00:00
6,存储节点-06,边缘计算盒,机房,available,2026-01-01 09:00:00
7,存储节点-07,GPU服务器,A栋101,available,2026-01-01 09:00:00
8,边缘计算盒-08,高性能工作站,A栋203,available,2026-01-01 09:00:00
9,边缘计算盒-09,传感器,B栋305,available,2026-01-01 09:00:00
10,边缘计算盒-10,实验设备,实验室一,available,2026-01-01 09:00:00
11,存储节点-11,存储节点,实验室二,available,2026-01-01 09:00:00
12,边缘计算盒-12,边缘计算盒,机房,available,2026-01-01 09:00:00
13,高性能工作站-13,GPU服务器,A栋101,available,2026-01-01 09:00:00
14,GPU服务器-14,高性能工作站,A栋203,maintenance,2026-01-01 09:00:00
15,边缘计算盒-15,传感器,B栋305,available,2026-01-01 09:00:00
16,高性能工作站-16,实验设备,实验室一,available,2026-01-01 09:00:00
17,实验设备-17,存储节点,实验室二,available,2026-01-01 09:00:00
18,传感器-18,边缘计算盒,机房,available,2026-01-01 09:00:00
19,GPU服务器-19,GPU服务器,A栋101,available,2026-01-01 09:00:00
20,边缘计算盒-20,高性能工作站,A栋203,available,2026-01-01 09:00:00
21,GPU服务器-21,传感器,B栋305,available,2026-01-01 09:00:00
22,存储节点-22,实验设备,实验室一,available,2026-01-01 09:00:00
23,存储节点-23,存储节点,实验室二,available,2026-01-01 09:00:00
24,传感器-24,边缘计算盒,机房,available,2026-01-01 09:00:00
25,传感器-25,GPU服务器,A栋101,available,2026-01-01 09:00:00
