id,project_id,user_id,member_role,joined_at
1,1,27,数据开发,2025-11-01
2,1,40,前端开发,2025-11-01
3,1,39,测试支持,2025-11-01
4,1,59,数据开发,2025-11-01
5,1,10,测试支持,2025-11-01
6,1,24,数据开发,2025-11-01
7,1,56,测试支持,2025-11-01
8,1,54,后端开发,2025-11-01
9,1,50,数据开发,2025-11-01
10,1,57,产品协调,2025-11-01
11,2,14,前端开发,2025-11-13
12,2,26,后端开发,2025-11-13
13,2,53,算法支持,2025-11-13
14,2,11,产品协调,2025-11-13
15,2,31,负责人,2025-11-13
16,2,48,算法支持,2025-11-13
17,2,50,产品协调,2025-11-13
18,2,46,数据开发,2025-11-13
19,2,7,测试支持,2025-11-13
20,2,49,后端开发,2025-11-13
21,3,51,后端开发,2025-11-25
22,3,45,算法支持,2025-11-25
23,3,3,算法支持,2025-11-25
24,3,9,产品协调,2025-11-25
25,3,14,后端开发,2025-11-25
26,3,48,算法支持,2025-11-25
27,3,43,数据开发,2025-11-25
28,3,17,数据开发,2025-11-25
29,3,22,前端开发,2025-11-25
30,3,38,数据开发,2025-11-25
31,3,4,测试支持,2025-11-25
32,4,24,数据开发,2025-12-07
33,4,35,产品协调,2025-12-07
34,4,2,算法支持,2025-12-07
35,4,49,测试支持,2025-12-07
36,4,58,测试支持,2025-12-07
37,4,7,负责人,2025-12-07
38,4,3,数据开发,2025-12-07
39,4,11,测试支持,2025-12-07
40,5,52,测试支持,2025-12-19
41,5,18,算法支持,2025-12-19
42,5,56,算法支持,2025-12-19
43,5,1,数据开发,2025-12-19
44,5,13,产品协调,2025-12-19
45,5,35,产品协调,2025-12-19
46,5,33,数据开发,2025-12-19
47,5,47,后端开发,2025-12-19
48,5,9,产品协调,2025-12-19
49,5,60,数据开发,2025-12-19
50,5,46,前端开发,2025-12-19
51,5,15,数据开发,2025-12-19
52,6,22,产品协调,2025-12-31
53,6,37,数据开发,2025-12-31
54,6,59,产品协调,2025-12-31
55,6,42,产品协调,2025-12-31
56,6,46,前端开发,2025-12-31
57,6,12,测试支持,2025-12-31
58,6,56,算法支持,2025-12-31
59,6,58,数据开发,2025-12-31
60,6,8,数据开发,2025-12-31
61,7,50,负责人,2026-01-12
62,7,26,后端开发,2026-01-12
63,7,28,负责人,2026-01-12
64,7,49,产品协调,2026-01-12
65,7,56,数据开发,2026-01-12
66,7,30,测试支持,2026-01-12
67,7,22,负责人,2026-01-12
68,7,60,产品协调,2026-01-12
69,7,29,后端开发,2026-01-12
70,8,23,测试支持,2026-01-24
71,8,33,算法支持,2026-01-24
72,8,31,算法支持,2026-01-24
73,8,21,后端开发,2026-01-24
74,8,55,负责人,2026-01-24
75,8,3,算法支持,2026-01-24
76,8,28,产品协调,2026-01-24
77,8,11,后端开发,2026-01-24
78,8,35,测试支持,2026-01-24
79,8,22,产品协调,2026-01-24
80,8,42,前端开发,2026-01-24
81,8,36,数据开发,2026-01-24
82,8,52,产品协调,2026-01-24
83,9,1,数据开发,2026-02-05
84,9,47,后端开发,2026-02-05
85,9,10,负责人,2026-02-05
86,9,33,算法支持,2026-02-05
87,9,44,前端开发,2026-02-05
88,9,42,测试支持,2026-02-05
89,9,7,算法支持,2026-02-05
90,9,38,前端开发,2026-02-05
91,9,35,测试支持,2026-02-05
92,10,30,算法支持,2026-02-17
93,10,45,算法支持,2026-02-17
94,10,38,算法支持,2026-02-17
95,10,12,算法支持,2026-02-17
96,10,25,后端开发,2026-02-17
97,10,35,算法支持,2026-02-17
98,10,39,算法支持,2026-02-17
99,10,48,数据开发,2026-02-17
100,10,32,后端开发,2026-02-17
101,10,43,负责人,2026-02-17
102,11,2,算法支持,2026-03-01
103,11,46,后端开发,2026-03-01
104,11,22,后端开发,2026-03-01
105,11,27,负责人,2026-03-01
106,11,41,测试支持,2026-03-01
107,11,38,数据开发,2026-03-01
108,11,25,后端开发,2026-03-01
109,11,20,测试支持,2026-03-01
110,11,32,数据开发,2026-03-01
111,11,39,算法支持,2026-03-01
112,11,24,数据开发,2026-03-01
113,11,6,测试支持,2026-03-01
114,11,12,后端开发,2026-03-01
115,11,28,负责人,2026-03-01
116,11,1,数据开发,2026-03-01
117,12,3,负责人,2026-03-13
118,12,41,产品协调,2026-03-13
119,12,48,负责人,2026-03-13
120,12,39,数据开发,2026-03-13
121,12,5,数据开发,2026-03-13
122,12,37,前端开发,2026-03-13
123,12,33,后端开发,2026-03-13
124,12,8,产品协调,2026-03-13
